Author,Section,Question,Answer
Human Summary (A2),4.5,Features in naive Bayes may express what?,any property of the input text
Human Summary (A2),4.5,What are features in naive Bayes for spam detection?,a set of likely words or phrases
Human Summary (A2),4.5,What determines what language a given piece of information is written in?,Language ID
Human Summary (A2),4.5,What are the most effective naive Bayes features for Language ID?,character n-grams or byte n-grams
Human Summary (A2),4.5,What naive Bayes system uses feature selection to determine the most informative final features?,langid.py
Human Summary (A2),4.5,What type of texts are Language ID systems trained on?,multilingual
Human Summary (A2),4.5,What does the naive Bayes system add to Wikipedia?,slang websites
Human Summary (A2),4.6,What are similar to language modeling in that they can be viewed as a set of class-specific unigram language models?,Naive Bayes models
Human Summary (A2),4.6,What is the probability of a sentence being positive?,the total product of the individual probabilities that each word in the sentence is positive
Human Summary (A2),4.7.0,What do gold labels do?,verify system outputs
Human Summary (A2),4.7.0,What is a table for visualizing how an algorithm performs with respect to the human gold labels?,confusion matrix
Human Summary (A2),4.7.0,What is calculated as the percentage of correct system output?,Accuracy
Human Summary (A2),4.7.0,What measures the percentage of true gold-labeled positives out of all system-labeled positives?,Precision
Human Summary (A2),4.7.0,What measures the percentage of true gold-labeled positives out of true positives and true negatives?,Recall
Human Summary (A2),4.7.0,What is the F-measure expressed as?,Harmonic mean
Human Summary (A2),4.7.1,What is a multi-class classification algorithm that can perform sentiment analysis beyond the positive and negative class?,The Naive Bayes algorithm
Human Summary (A2),4.7.1,What can the Naive Bayes algorithm perform beyond the positive and negative classes?,sentiment analysis
Human Summary (A2),4.7.1,What averages over the performance for each class?,Macroaveraging
Human Summary (A2),4.8,What allows all data to be used for both training and testing?,Cross-validation
Human Summary (A2),4.8,What does 10-fold cross-validation involve?,training the classifier on a set of randomly selected data
Human Summary (A2),4.8,What does 10-fold cross-validation involve?,computing the error rate on the test set
Human Summary (A2),4.8,What does cross-validation prohibit?,previewing the data
Human Summary (A2),4.9.0,What compares the performance of multiple systems?,Statistical significance testing
Human Summary (A2),4.9.0,What presents the degree to which system A is better than system B?,The effect size
Human Summary (A2),4.9.0,The null hypothesis assumes that the effective size is what?,negative or zero
Human Summary (A2),4.9.0,What attempts to rule out the null hypothesis?,statistical significance testing
Human Summary (A2),4.9.0,What is the probability that the actual effect size is higher than it was in the hypothesis?,The p-value
Human Summary (A2),4.9.0,A p-value below what threshold indicates that the result is statistically significant and the null hypothesis can be rejected?,0.05 or 0.1
Human Summary (A2),4.9.0,NLP research usually use non-parametric tests based on what?,sampling
Human Summary (A2),4.9.0,What are the two most common non-parametric tests in NLP?,approximate randomization and the bootstrap test
Human Summary (A2),4.9.0,What compares two sets of observations that are aligned?,The paired version of the bootstrap test
Human Summary (A2),4.9.1,What refers to drawing large numbers of smaller samples with replacement from an original large sample?,bootstrap test
Human Summary (A2),4.10,What is crucial to avoid that exist both for naive Bayes classifiers and other classification algorithms?,harms
Human Summary (A2),4.10,What type of harms are caused by a system that demeans a social group?,Representational
Human Summary (A2),4.10,What is another class of harms that may exist in toxicity detection?,Censorship
Human Summary (A2),4.10,Non-toxic sentences that simply mention what identifies can lead to the censoring discourses by or about minority groups.,minority
Human Summary (A2),4.10,What could have replicated and amplified biases in their training data?,Machine learning systems
Human Summary (A2),4.10,What is released with each version of a model and clarifies any flaws that the model might have?,A model card
Human Summary (A3),2.0,What is an example of an early NLP processing system that recognizes patterns and matches them with appropriate responses?,ELIZA
Human Summary (A3),2.0,What is the essence of ELIZA?,regular expressions
Human Summary (A3),2.0,Regular expressions are what?,strings
Human Summary (A3),2.0,What is it called when we want to standardize a text?,text normalization
Human Summary (A3),2.0,What is another example of text normalization?,splitting sentences
Human Summary (A3),2.0,What algorithm determines how similar words are between each other?,edit distance
Human Summary (A3),2.1.1,What is a simple type of regular expressions?,a sequence of characters
Human Summary (A3),2.1.1,What defines a disjunction of characters when we are matching them to the regular expressions?,Square braces
Human Summary (A3),2.1.1,What is used when we know the range of characters to match?,Dash
Human Summary (A3),2.1.1,What is used when you don't want to use a certain character?,Caret
Human Summary (A3),2.1.1,Where should the symbol go in order to negate the pattern?,the beginning of the square brackets
Human Summary (A3),2.1.1,What lets us match the word if it has the character before the question mark?,Question mark
Human Summary (A3),2.1.1,What lets us match the word if it has the character before the question mark?,if it has the character before the question mark
Human Summary (A3),2.1.1,What lets us match the word if it has the character before the question mark?,if it has the character before the question mark
Human Summary (A3),2.1.1,What lets us match the word if it has zero or more occurrences of the character before it or a regular expression before it?,Kleene star
Human Summary (A3),2.1.1,What lets us match the character with one or more occurrences of the character or regular expression before the Kleene (+)?,Kleene
Human Summary (A3),2.1.1,What is Period (.)?,a wildcard expression
Human Summary (A3),2.1.1,What is Period (.)?,a wildcard expression
Human Summary (A3),2.1.1,What do anchors do?,hold regular expressions to certain locations of the string
Human Summary (A3),2.1.2,"What means ""or""?",Pipe
Human Summary (A3),2.1.2,"What does (( )) mean ""and""?",Parentheses
Human Summary (A3),2.1.2,What determines which operator has higher precedence than another?,precedence hierarchy
Human Summary (A3),2.1.2,What is the order from highest precedence to lowest precedence?,"parenthesis, counters, sequences and anchors, disjunction"
Human Summary (A3),2.1.2,"When regular expressions are not matched, we match them with what?",largest string they can
Human Summary (A3),2.1.3,How many types of errors are there?,two
Human Summary (A3),2.1.3,What are the two types of errors?,false positives
Human Summary (A3),2.1.3,What is the other type of error called?,false negatives
Human Summary (A3),2.1.3,What is when we incorrectly match strings?,False positive
Human Summary (A3),2.1.3,What is when we incorrectly miss strings?,False negative
Human Summary (A3),2.1.3,What do less false positives errors mean?,more precision
Human Summary (A3),2.1.3,Less false negatives errors mean more what?,recall
Human Summary (A3),2.1.4,What can you specify?,the number of an instance in a pattern
Human Summary (A3),2.1.4,How many instances of the previous character or expression are there?,four
Human Summary (A3),2.1.4,What can you specify in a pattern?,ranges
Human Summary (A3),2.1.4,What can you refer to with a backslash?,special characters
Human Summary (A3),2.1.4,What are some special characters that you can refer to with a backslash?,"( ), ( )"
Human Summary (A3),2.1.6,What means replacing one string characterized with a regular expression with another string?,Substitution
Human Summary (A3),2.1.6,Capture group means using what to store a pattern in memory?,parentheses
Human Summary (A3),2.1.7,What syntax do Lookahead assertions use?,non-capture groups' syntax
Human Summary (A3),2.2,What is a collection of text or speech that a computer can read?,Corpus
Human Summary (A3),2.2,"Punctuation, fillers, and disfluencies are treated as what?",words
Human Summary (A3),2.2,"What is a set of lexical forms that share the steam, major part-of-speech, and word sense?",A lemma
Human Summary (A3),2.3,"What should be tested with many languages, not just one?",NLP algorithms
Human Summary (A3),2.3,What is the phenomenon of people using multiple languages in a single communicative act called?,code switching
Human Summary (A3),2.3,What is the ideal way of creating a corpus creator?,build a datasheet
Human Summary (A3),2.3,What does a datasheet help understand?,context
Human Summary (A3),2.3,What are the properties of a datasheet?,"motivation, situation, language variety, speaker demographics, collection process, annotation process, and distribution"
Human Summary (A3),2.4.1,What does normalizing a text mean?,tokenizing words
Human Summary (A3),2.4.1,How many words is a normalized text divided into?,one word per line
Human Summary (A3),2.4.1,What are the most frequent words?,function words
Human Summary (A3),2.4.1,What are some examples of function words?,"articles, pronouns, and prepositions"
Human Summary (A3),2.4.2,What is the task of segmenting running text into words?,Tokenization
Human Summary (A3),2.4.2,What do we keep in our tokenizations?,punctuation and numbers
Human Summary (A3),2.4.2,What are clitic contractions marked by?,apostrophes
Human Summary (A3),2.4.2,Tokenization is tied to what?,named entity recognition
Human Summary (A3),2.4.2,What is a common tokenization standard called?,Penn Treebank tokenization standard
Human Summary (A3),2.4.2,What does the Penn Treebank tokenization standard do?,"separates out clitics, keeps hyphenated words and separates punctuation"
Human Summary (A3),2.4.2,Tokenization is a task that can differ between what?,languages
Human Summary (A3),2.4.2,Tokenization can be segmented into what?,characters or into words
Human Summary (A3),2.4.3,What are sets of tokens that include tokens smaller than words called?,Subwords
Human Summary (A3),2.4.3,What are the two parts of tokenizations?,token learner and a token segmenter
Human Summary (A3),2.4.3,What is BPE?,byte-pair encoding
Human Summary (A3),2.4.4,What is standardizing the format of words and tokens?,Word normalization
Human Summary (A3),2.4.4,What is another kind of normalization?,Case folding
Human Summary (A3),2.4.4,What is an example of case folding?,mapping everything to lowercase
Human Summary (A3),2.4.4,What determines if two words share the same root?,Lemmatization
Human Summary (A3),2.4.5,What is an important step in text processing?,Sentence segmentation
Human Summary (A3),2.4.5,What are some clues in sentence segmentation?,"periods, question marks, and exclamation points"
Human Summary (A3),2.4.5,What are some challenges in sentence segmentation?,knowing whether a period is a full-stop or it's the end of an abbreviation
Human Summary (A3),2.5.0,What can help to quantify the similarity between strings?,Minimum edit distance
Human Summary (A3),2.5.0,What does minimum edit distance return?,the minimum number of editing operations needed to transform one string into another
Human Summary (A3),2.5.1,What is a method to solve problems that combines solutions to sub-problems?,Dynamic programming
Human Summary (A3),2.5.1,What are two examples of dynamic programming?,Viterbi algorithm and the CKY algorithm
Human Summary (A3),2.5.1,What is an application of the minimum edit distance algorithm?,spelling errors
Human Summary (A3),2.5.1,What is the name of the imum edit distance algorithm?,n
Human Summary (A3),2.5.1,What is the name of the relation where costs of insertion and deletion are calculated?,recurrence relation
Human Summary (A3),2.5.1,What is a probabilistic extension of the minimum edit distance algorithm?,Viterbi's algorithm
Human Summary (A3),3.0,"What is essential for speech recognition, spelling or grammar correction, machine translation, and augmentative communication technologies?",Predicting upcoming words
Human Summary (A3),3.0,What are models that assign probabilities to sequences of words called?,Language models
Human Summary (A3),3.1,What is a model that estimates the probability of the last word given the previous words?,N-gram
Human Summary (A3),3.1,Why is the N-gram model not as effective?,the constant change in languages
Human Summary (A3),3.1,What shows the link between computing the joint probability of a sequence and computing the conditional probability of a word given previous words?,The chain rule of probability
Human Summary (A3),3.1,What model approximates this probability by using only the conditional of the previous words?,The bigram model
Human Summary (A3),3.1,The n-gram model looks at how many words into the past?,n-1
Human Summary (A3),3.1,What is the assumption that the probability of a word depends only on the previous word?,Markov assumption
Human Summary (A3),3.1,What is another name for the maximum likelihood estimation?,MLE
Human Summary (A3),3.1,What are the normalized counts of a corpus?,between 0 and 1
Human Summary (A3),3.1,How do we estimate the n-gram probability?,by dividing the observed frequency of a particular sequence by the observed frequency of a prefix
Human Summary (A3),3.1,What is dividing the observed frequency of a particular sequence by the observed frequency of a prefix called?,relative frequency
Human Summary (A3),3.1,What do we usually convert the relative frequency of a particular sequence by the observed frequency of a prefix into?,logarithmic space
Human Summary (A3),3.2.0,What is used to evaluate the performance of a language model?,extrinsic evaluation
Human Summary (A3),3.2.0,What is the downside of extrinsic evaluation?,very expensive
Human Summary (A3),3.2.0,What ensures the quality of a model independent of any application?,intrinsic evaluation
Human Summary (A3),3.2.0,What are the three types of data that we divide the data in?,"training set, test set, held out set"
Human Summary (A3),3.2.0,What is the better model?,Whichever model assigns a higher probability to the test set
Human Summary (A3),3.2.0,What is problematic because it introduces a bias in the probabilities and causes inaccuracies in perplexity?,Training on the test set
Human Summary (A3),3.2.1,What is the inverse probability of a test set?,Perplexity
Human Summary (A3),3.2.1,What is equal to maximizing the test set probability according to the language model?,Minimizing perplexity
Human Summary (A3),3.3.0,N-grams are dependent on what?,training corpus
Human Summary (A3),3.3.0,To build a better model we need to do what in the training corpus?,match genres and dialects
Human Summary (A3),3.3.1,What do we call the words that are not known in our dictionary?,unknown words
Human Summary (A3),3.4.0,What is another name for not assigning zero to the probability of an unseen word in a test set?,discounting
Human Summary (A3),3.4.0,What is the name of the smoothing method?,Kneser-Ney
Human Summary (A3),3.4.1,What algorithm adds one to all the bigram counts before normalizing them into probabilities?,Laplace smoothing
Human Summary (A3),3.4.2,What smoothing is to move a bit less of the probability mass from the seen to the unseen events?,Add-k
Human Summary (A3),3.4.2,What does add-k smoothing add?,fractional count
Human Summary (A3),3.4.3,What does backoff use if the evidence is sufficient?,bigram
Human Summary (A3),3.4.3,What does backoff use if the evidence is sufficient?,trigram
Human Summary (A3),3.4.3,In what method do we mix the probability estimates from all the n-gram estimators?,interpolation
Human Summary (A3),3.5,What company augments absolute discounting with a more sophisticated way to handle the lower-order unigram distribution?,Kneser-Ney
Human Summary (A3),3.5,"How many different discounts does Kneser-Ney use for n-grams with counts of 1,2,3 or more?",three
Human Summary (A3),3.6,Efficient language model toolkits use what to build probability tables in a minimal number of passes through a large corpus?,merge sorts
Human Summary (A3),3.6,What do efficient language model toolkits use to combine probabilities and backoffs in a single value?,sorted arrays
Human Summary (A3),3.7,What do we use to measure information?,entropy
Human Summary (A3),3.7,What is the entropy of a sequence divided by the number of words?,Entropy rate
Human Summary (A3),3.7,What is used when the actual probability distribution that generated some data is unknown?,cross entropy
Human Summary (A3),4.0,What is the task of assigning a label to a text?,Text categorization
Human Summary (A3),4.0,What is the positive or negative experience that the writer expresses towards an object?,Sentiment analysis
Human Summary (A3),4.0,What is another example of Sentiment analysis?,Spam detection
Human Summary (A3),4.0,What is the goal of supervised machine learning?,to learn how to mpa
Human Summary (A3),4.1,The Bayesian classifier makes a simplifying assumption of what?,how features interact
Human Summary (A3),4.1,What does the Bayesian classifier present the text as?,a bag of words
Human Summary (A3),4.1,How do we calculate the most probable class given some document?,by choosing the class which has the highest product of the prior probability of the class and the likelihood of the document
Human Summary (A3),4.1,What is the naive Bayes assumption?,conditional independence assumption
Human Summary (A3),4.1,What are the Bayesian classifiers called?,linear classifiers
Human Summary (A3),4.2,What do we use in the data to estimate the maximum likelihood?,frequencies
Human Summary (A3),4.2,What is used to avoid zeros?,Laplace smoothing
Human Summary (A3),4.2,What is the solution for unknown words?,ignore them and remove them from the document
Human Summary (A3),4.2,Some systems decide to ignore a class of what?,very frequent words
Human Summary (A3),4.4,What is the variant of binary NB called?,binary multinomial naive Bayes
Human Summary (A3),4.4,What can modify a negative word and produce a positive review?,Negation
Human Summary (A3),4.4,What is an example of a sentiment lexicon?,MPQA Subjectivity Lexicon
Human Summary (A3),4.4,What are lists of words that are pre annotated with a positive or negative sentiment?,sentiment lexicons
Human Summary (A3),4.5,What does Bayes not require to use all the words in training data as a feature?,the classifier
Human Summary (A3),4.5,Language iD systems are trained on multilingual texts such as what?,Wikipedia
Human Summary (A3),4.6,What can be viewed as a set of class-specific unigram language models?,naive Bayes model
Human Summary (A3),4.6,A naive Bayes model can be viewed as a set of what?,class-specific unigram language models
Human Summary (A3),4.7.0,What does a human define?,Gold labels
Human Summary (A3),4.7.0,What helps visualize how an algorithm performs with respect to the human gold labels?,confusion matrix
Human Summary (A3),4.7.0,"Instead of measuring accuracy, we measure what?",precision
Human Summary (A3),4.7.0,What measures the percentage of items actually present in the input that were correctly identified by the system?,Recall
Human Summary (A3),4.7.1,What is a multi-class classification algorithm?,naive Bayes algorithm
Human Summary (A3),4.7.1,What method computes the performance of each class and averages over classes?,macroaveraging
Human Summary (A3),4.7.1,In what class classification algorithm do we collect the decisions for all classes into a single confusion matrix?,microaveraging
Human Summary (A3),4.8,What allows you to randomly select a training set and a test set division of our data?,k fold cross validation
Human Summary (A3),4.8,How many times does k fold cross validation repeat?,k times
Human Summary (A3),4.9.0,What represents if a model is better than another model?,The effect size
Human Summary (A3),4.9.0,What are the two common non-parametric tests used in NLP?,"approximate randomization, and the bootstrap test"
Human Summary (A3),4.9.1,What test can be applied to any metric?,bootstrap
Human Summary (A3),4.9.1,Bootstrap refers to repeatedly drawing what with replacement?,large numbers of smaller samples
Human Summary (A3),4.10,What are representational harms caused by?,systems that demeans a social group
Human Summary (A3),4.10,What are some tasks that include toxicity detection?,"hate speech, abuse, harassment, or other kinds of toxic language"
Human Summary (A3),5.0,What can help discover the link between features and some outcome?,Logistic regression
Human Summary (A3),5.0,What is the algorithm used for classification in nlp?,Logistics regression
Human Summary (A3),5.0,How many classes can logistic regression classify?,2
Human Summary (A3),5.0,What type of classifier is naive Bayes?,generative
Human Summary (A3),5.0,What does a discriminative model try to directly compute?,P(c/d)
Human Summary (A3),5.0,How many components does a machine learning system have?,four
Human Summary (A3),5.0,What are the two phases of logistic regression?,training and testing
Human Summary (A3),5.1,What classifier can help make a binary decision about the class of a new input observation?,sigmoid
Auto Summary,2.0,What is the name of the early natural language processing system that could carry on a limited conversation with a user by imitating the responses of ,ELIZA
Auto Summary,2.0,ELIZA could carry on a limited conversation with a user by imitating the responses of what?,Rogerian psychotherapist
Auto Summary,2.0,Who's mimicry of human conversation was remarkably successful?,Eliza
Auto Summary,2.0,What do modern conversational agents rely on?,more sophisticated understanding of the user's intent
Auto Summary,2.0,English words are separated from each other by what?,whitespace
Auto Summary,2.0,What is an example of a hashtag?,#nlproc
Auto Summary,2.0,What language doesn't have spaces between words?,Japanese
Auto Summary,2.1.0,What is an algebraic notation for characterizing a set of strings?,regular expression
Auto Summary,2.1.0,What are two examples of regular expressions?,Unix tools grep or Emacs
Auto Summary,2.1.0,What types of regular expressions do regular expressions come in?,variants
Auto Summary,2.1.1,"To search for woodchuck, we type what?",/woodchuck/
Auto Summary,2.1.1,What does the expression /Buttercup/ match?,any string containing the substring Buttercup
Auto Summary,2.1.1,What can the search string consist of?,a single character
Auto Summary,2.1.1,The pattern /[wW]/ matches patterns containing what two characters?,w or W
Auto Summary,2.1.1,What do square brackets not allow us to say?,s or nothing
Auto Summary,2.1.1,What does the question mark /?/ mean?,the preceding character or nothing
Auto Summary,2.1.1,What does the question mark /?/ mean?,the preceding character or nothing
Auto Summary,2.1.1,"What means ""any string of zero or more as""?",/a*/
Auto Summary,2.1.1,"What means ""any string of zero or more as""?",/a*/
Auto Summary,2.1.1,What can we extend /[0-9//. for a single digit?,multiple digits
Auto Summary,2.1.1,"For specifying multiple digits, we can extend /[0-9//. for what?",single digit
Auto Summary,2.1.1,"What are two ways to specify ""at least one"" of some character?",/baaa*!/ or /baa+!/
Auto Summary,2.1.1,"How many ways to specify ""at least one"" of some character?",two
Auto Summary,2.1.1,"What pattern matches the word ""The"" only at the start of a line?",The
Auto Summary,2.1.2,What is another name for the disjunction operator?,pipe symbol
Auto Summary,2.1.2,When do we need to use the disjunction operator?,in the midst of a larger sequence
Auto Summary,2.1.2,What do I want to search for for my cousin David?,pet fish
Auto Summary,2.1.2,What will the expression /Column [0-9] */ match?,a single column followed by a number of spaces
Auto Summary,2.1.2,The idea that one operator may take precedence over another is formalized by what for regular expressions?,operator precedence hierarchy
Auto Summary,2.1.2,What is a Kleene star that matches as little text as possible?,*
Auto Summary,2.1.2,What is the operator *??,Kleene star
Auto Summary,2.1.3,What is an example of an incorrect pattern?,/the/
Auto Summary,2.1.3,What happens when a pattern begins a sentence?,miss the word
Auto Summary,2.1.3,What is the pattern that will miss the word when it begins a sentence?,/[tT]he/
Auto Summary,2.1.3,What do we want instances with on both sides?,word boundary
Auto Summary,2.1.3,What does /b/ not treat as word boundaries?,underscores and numbers
Auto Summary,2.1.3,What are two kinds of errors?,false positives and false negatives
Auto Summary,2.1.3,Reducing error rate involves increasing precision (minimizing false positives) and what?,increasing recall
Auto Summary,2.1.3,When will we come back to precision and recall with more precise definitions?,Chapter 4
Auto Summary,2.1.4,Where can a range of numbers be specified by enclosing them?,curly brackets
Auto Summary,2.1.4,Where can a range of numbers be specified by enclosing them?,curly brackets
Auto Summary,2.1.4,What are referred to by special notation based on the backslash?,special characters
Auto Summary,2.1.5,What is a simple regular expression for a dollar sign followed by a string of digits?,/$[0-9+/
Auto Summary,2.1.5,What character has a different function here than the end-of-line function?,$
Auto Summary,2.1.5,Let's try out a more significant example of the power of what?,REs
Auto Summary,2.1.5,What do we need to allow for?,optional fractions
Auto Summary,2.1.5,What does this pattern only allow?,$199.99
Auto Summary,2.1.5,What do we need to do to allow for optional fractions?,limit the dollars
Auto Summary,2.1.5,What is the limit to the dollars?,*(GB|[Gg]igabytes
Auto Summary,2.1.5,What is the limit of dollars?,b/
Auto Summary,2.1.6,What is an important use of regular expressions?,substitutions
Auto Summary,2.1.6,What is the substitution operator used in Python and in Unix commands like vim or sed?,s/regexp1/pattern/
Auto Summary,2.1.6,What is the substitution operator s/regexp1/pattern/ often useful to be able to refer to?,a particular subpart of the string matching the first pattern
Auto Summary,2.1.6,What simulates a Rogerian psychologist?,ELIZA
Auto Summary,2.1.6,Substitutions and what are very useful in implementing simple chatbots?,capture groups
Auto Summary,2.1.6,What do the first substitutions do?,"change all instances of MY to YOUR, and I'M to YOU ARE"
Auto Summary,2.1.6,What does the next set of substitutions do in the input?,matches and replaces other patterns
Auto Summary,2.1.7,What is commonly used when we are parsing complex patterns but want to rule out a special case?,Negative lookahead
Auto Summary,2.1.7,What is the operator true if pattern occurs?,pattern
Auto Summary,2.1.7,"The operator (?= pattern) is true if pattern occurs, but is zero-width, i.e. what doesn't advance",match pointer
Auto Summary,2.2,What is a million-word collection of samples from 500 written English texts from different genres called?,The Brown corpus
Auto Summary,2.2,What is critical for finding boundaries of things?,Punctuation
Auto Summary,2.2,"For some tasks, like part-of-speech tagging or parsing or speech synthesis, we treat punctuation marks as",separate words
Auto Summary,2.2,What are words like uh and um called fillers?,filled pauses
Auto Summary,2.2,What is helpful in speech recognition in predicting the upcoming word?,Disfluencies
Auto Summary,2.2,What is a useful feature for part-of-speech or named-entity tagging?,capitalization
Auto Summary,2.2,"For morphologically complex languages like Arabic, we often need to deal with what?",lemmatization
Auto Summary,2.2,"The more corpora we look at, the more word types we find.",larger
Auto Summary,2.2,What is the relationship between word types in the Brown corpus called?,Herdan's Law or Heaps' Law
Auto Summary,2.2,How many entries were in the 1989 edition of the Oxford English Dictionary?,"615,000"
Auto Summary,2.2,What is sufficient for many tasks in English?,wordforms
Auto Summary,2.3,When are NLP algorithms most useful?,when they apply across many languages
Auto Summary,2.3,How many languages does the world have?,7097
Auto Summary,2.3,"When developing computational models for language processing from a corpus, it's important to consider what?","who produced the language, in what context, for what purpose"
Auto Summary,2.3,Text also reflects what of the writer?,demographic characteristics
Auto Summary,2.3,How does a corpus of texts from different historical periods change?,Language changes over time
Auto Summary,2.4.0,"Before almost any natural language processing of a text, the text has to be what?",normalized
Auto Summary,2.4.0,What is the term for segmenting words?,Tokenizing
Auto Summary,2.4.0,How do we go through each of these tasks?,walk through
Auto Summary,2.4.1,"tr, sort, uniq, sort and uniq are commands from what operating system?",Unix
Auto Summary,2.4.1,What is the name of the textfile that contains the complete words of Shakespeare?,sh.txt
Auto Summary,2.4.1,"What is an easy, if somewhat naive version of word?",tokenization
Auto Summary,2.4.1,What can Unix tools be useful for?,building quick word count statistics
Auto Summary,2.4.1,What can we use to tokenize the words by changing every sequence of non-alphabetic characters to a newline?,tr
Auto Summary,2.4.1,What are the most frequent words in Shakespeare?,"articles, pronouns, prepositions"
Auto Summary,2.4.2,What do most NLP applications need to keep?,"punctuation, numbers and punctuation"
Auto Summary,2.4.2,What is a useful piece of information for parsers?,break off punctuation
Auto Summary,2.4.2,What are clitic contractions marked by?,apostrophes
Auto Summary,2.4.2,What is a common tokenization standard?,Penn Treebank tokenization
Auto Summary,2.4.2,What are deterministic algorithms compiled into?,finite state automata
Auto Summary,2.4.2,How many characters long are words on average?,2.4
Auto Summary,2.4.2,What is a single unit of meaning called in Chinese?,a morpheme
Auto Summary,2.4.2,For most Chinese NLP tasks it works better to take what as input?,characters
Auto Summary,2.4.2,What NLP algorithms require algorithms for word segmentation?,Japanese and Thai
Auto Summary,2.4.3,What is another name for a corpus that NLP algorithms learn from?,training corpus
Auto Summary,2.4.3,What can be arbitrary substrings?,Subwords
Auto Summary,2.4.3,What is an important problem in language processing?,unknown words
Auto Summary,2.4.3,What is the name of the algorithm used by Schuster and Nakajima in 2012?,WordPiece
Auto Summary,2.4.3,What does the BPE token learner begin with?,a vocabulary
Auto Summary,2.4.3,What is the new merged symbol added to the vocabulary?,AB
Auto Summary,2.4.3,What is the most frequent pair of adjacent symbols?,e r
Auto Summary,2.4.3,What runs on the test data the merges we have learned from the training data?,The token parser
Auto Summary,2.4.4,What is the task of putting words/tokens in a standard format?,Word normalization
Auto Summary,2.4.4,Mapping everything to lower case means what are represented identically?,Woodchuck and woodchuck
Auto Summary,2.4.4,What is generally not done for sentiment analysis analysis and machine translation?,case folding
Auto Summary,2.4.4,What is the study of the way words are built up from smaller meaning-bearing units called morphemes?,Morphology
Auto Summary,2.4.4,What is the most sophisticated method for lemmatization?,complete morphological parsing
Auto Summary,2.4.4,What is the Porter stemmer algorithm based on?,"series of rewrite rules run in series, as a cascade"
Auto Summary,2.4.5,What is another important step in text processing?,Sentence segmentation
Auto Summary,2.4.5,What is one of the most useful cues for segmenting a text into sentences?,punctuation
Auto Summary,2.4.5,Periods are what type of cues for segmenting a text into sentences?,more ambiguous
Auto Summary,2.4.5,What can be addressed jointly?,sentence tokenization and word tokenization
Auto Summary,2.5.0,What is much of natural language processing concerned with?,measuring how similar two strings are
Auto Summary,2.5.0,What is the minimum edit distance?,minimum number of editing operations needed to transform one string into another
Auto Summary,2.5.0,What is the most important visualization for string distances?,an alignment between the two strings
Auto Summary,2.5.0,What is a correspondence between substrings of the two sequences?,an alignment
Auto Summary,2.5.0,What represents an operation list for converting the top string into the bottom string?,a series of symbols
Auto Summary,2.5.0,What can we assign to each of these operations?,a particular cost or weight
Auto Summary,2.5.1,When was dynamic programming first introduced?,1957
Auto Summary,2.5.1,What is the name for a class of algorithms that apply a table-driven method to solve problems by combining solutions to sub-problems?,Dynamic programming
Auto Summary,2.5.1,Some of the most commonly used algorithms in natural language processing make use of what?,dynamic programming
Auto Summary,2.5.1,Who named the minimum edit distance algorithm?,Wagner and Fischer
Auto Summary,2.5.1,Where is the minimum edit distance algorithm summarized?,Fig.2.17
Auto Summary,2.5.1,What is the version of the minimum edit distance algorithm?,Levenshtein
Auto Summary,2.5.1,What is useful throughout speech and language processing?,Aligning two strings
Auto Summary,2.5.1,What is used to compute the word error rate?,minimum edit distance alignment
Auto Summary,2.5.1,What plays a role in machine translation?,Alignment
Auto Summary,2.5.1,What exercise asks you to modify the minimum edit distance algorithm to store the pointers and compute the backtrace to output an alignment?,Exercise 2.7
Auto Summary,2.5.1,What does the backpointer from a cell point to?,previous cell (or cells)
Auto Summary,2.5.1,Some cells have what because the minimum extension could have come from multiple previous cells?,multiple backpointers
Auto Summary,3.0,What is essential in any task in which we have to identify words in noisy input?,Predictions
Auto Summary,3.0,Assigning probabilities to sequences of words is essential in what?,machine translation
Auto Summary,3.0,"What writing tools need to find and correct errors in writing like ""Their are two midterms""?",spelling correction or grammatical error correction
Auto Summary,3.1,What is the probability of a word w given some history h?,P(w|h)
Auto Summary,3.1,"With a large enough corpus, such as the web, we can compute these counts and estimate the probability from Eq. what?",2.2
Auto Summary,3.1,What isn't big enough to give us good estimates in most cases?,web
Auto Summary,3.1,We'll represent a sequence of N words as what?,w1...wn or w1:n
Auto Summary,3.1,What is the class of probabilistic models that assume we can predict the probability of some future unit without looking too far into the past?,Markov models
Auto Summary,3.1,What model is used to predict the conditional probability of the next word?,bigram model
Auto Summary,3.1,The bigram model can be generalized to what?,trigram
Auto Summary,3.1,How does Eq.11 estimate the n-gram probability?,by dividing the observed frequency of a particular sequence by the frequency of a prefix
Auto Summary,3.1,How many times does the word Chinese occur in a corpus of a million words?,400
Auto Summary,3.1,What does the parameter set maximize in MLE?,the likelihood of the training set T
Auto Summary,3.1,"What is the name of the dialogue system that answered questions about a database of restaurants in Berkeley, California?",Berkeley Restaurant Project
Auto Summary,3.1,What shows the bigram counts from a piece of a bigram grammar from the Berkeley Restaurant Project?,Figure 3.1
Auto Summary,3.1,What are the majority of the bigram counts from a piece of a bigram grammar from the Berkeley Restaurant Project?,zero
Auto Summary,3.1,How many words would be more sparse than a random set of?,seven
Auto Summary,3.1,What encode some facts that we think of as strictly syntactic in nature?,Bigram probabilities
Auto Summary,3.1,"Bigram probabilities encode some facts that we think of as strictly syntactic in nature. In practice, it's more common to use what",trigram models
