Author,Section,Question,Answer,Category,A1,A2,A3
Automatic Summary,2.3,How does a corpus of texts from different historical periods change?,Language changes over time,Grammatical,Y,Y,Y
Automatic Summary,2.4.0,"Before almost any natural language processing of a text, the text has to be what?",normalized,Grammatical,Y,Y,Y
Automatic Summary,2.4.0,What is the term for segmenting words?,Tokenizing,Grammatical,Y,Y,Y
Automatic Summary,2.4.0,How do we go through each of these tasks?,walk through,Grammatical,Y,Y,Y
Automatic Summary,2.4.1,What are the most frequent words in Shakespeare?,"articles, pronouns, prepositions",Grammatical,Y,Y,Y
Human Summary,2.4.1,"Unix can collapse, sort, and build statistics for the words in a corpus using commands such as what?",tr,Grammatical,Y,Y,Y
Human Summary,2.4.1,What are the minimal tasks applied as part of any normalization process?,"Tokenizing words, normalizing word formats, and segmenting sentences",Grammatical,Y,Y,Y
Human Summary,2.4.1,What command in Unix changes particular characters in the input?,The tr command,Grammatical,Y,Y,Y
Automatic Summary,2.4.1,What can Unix tools be useful for?,building quick word count statistics,Grammatical,Y,Y,Y
Human Summary,2.4.1,What are some examples of function words?,"articles, pronouns, and prepositions",Grammatical,Y,Y,Y
Human Summary,2.4.1,What are the most frequent words?,function words,Grammatical,Y,Y,Y
Human Summary,2.4.2,What must we account for according to where and how they are used?,punctuation and special characters,Grammatical,Y,Y,Y
Automatic Summary,2.4.2,How many characters long are words on average?,2.4,Grammatical,Y,Y,Y
Human Summary,2.4.2,"What is the identification of names, dates, organizations, etc?",Named entity recognition,Grammatical,Y,Y,Y
Human Summary,2.4.2,What do algorithms have to deal with?,ambiguities,Grammatical,Y,Y,Y
Original Text,2.4.2,What is a unit of meaning called?,a morpheme,Grammatical,Y,Y,Y
Human Summary,2.4.2,What language requires word segmentation?,Japanese,Grammatical,Y,Y,N
Automatic Summary,2.4.2,What NLP algorithms require algorithms for word segmentation?,Japanese and Thai,Grammatical,Y,N,Y
Human Summary,2.4.2,What language has no spaces?,Chinese,Grammatical,Y,Y,Y
Original Text,2.4.2,How are neural sequence models trained?,supervised machine learning,Grammatical,Y,Y,Y
Original Text,2.4.2,What are characters called in Chinese?,hanzi,Grammatical,Y,Y,Y
Automatic Summary,2.4.3,What runs on the test data the merges we have learned from the training data?,The token parser,Grammatical,Y,Y,Y
Human Summary,2.4.3,Tokenizers often do what in order to solve the unknown word problem?,induce subwords,Grammatical,Y,Y,Y
Human Summary,2.4.3,What implements both byte-pair encoding and unigram language modeling?,a SentencePiece library,Grammatical,Y,Y,Y
Original Text,2.4.3,What is one of the three algorithms used by the token learner?,byte-pair encoding,Grammatical,Y,Y,Y
Automatic Summary,2.4.3,What is another name for a corpus that NLP algorithms learn from?,training corpus,Grammatical,Y,Y,Y
Original Text,2.4.3,What is the smallest meaning-bearing unit of a language?,morpheme,Grammatical,Y,Y,Y
Human Summary,2.4.3,What library implements byte-pair encoding and unigram language modeling?,The SentencePiece library,Grammatical,Y,Y,Y
Human Summary,2.4.3,What induces a set of tokens from raw data?,token learner,Grammatical,Y,Y,Y
Original Text,2.4.3,Why does the token parser run on the test data?,the frequencies in the test data don't play a role,Grammatical,Y,Y,Y
Human Summary,2.4.3,What are most tokenization schemes made out of?,token learner and a token segmenter,Grammatical,Y,Y,Y
Human Summary,2.4.4,What is standardizing the format of words and tokens?,Word normalization,Grammatical,Y,Y,Y
Automatic Summary,2.4.4,What is generally not done for sentiment analysis analysis and machine translation?,case folding,Grammatical,Y,Y,Y
Original Text,2.4.4,What are two types of normalization that we might want to see information from documents whether they mention the US or the USA?,information retrieval or information extraction,Grammatical,Y,N,N
Original Text,2.4.4,"What is the central morpheme of the word, supplying the main meaning, and affixes?",stems,Grammatical,Y,Y,Y
Human Summary,2.4.4,What determines if two words share the same root?,Lemmatization,Grammatical,Y,Y,Y
Human Summary,2.4.4,What are the two broad classes of morphemes?,"stems, and affixes",Grammatical,Y,Y,Y
Original Text,2.4.5,What character is ambiguous between a sentence boundary marker and a marker of abbreviations like Mr. or Inc?,period character,Grammatical,Y,Y,Y
Automatic Summary,2.4.5,What is one of the most useful cues for segmenting a text into sentences?,punctuation,Grammatical,Y,Y,Y
Automatic Summary,2.4.5,What is another important step in text processing?,Sentence segmentation,Grammatical,Y,Y,Y
Human Summary,2.4.5,What are some clues in sentence segmentation?,"periods, question marks, and exclamation points",Grammatical,Y,Y,Y
Automatic Summary,2.5.0,What represents an operation list for converting the top string into the bottom string?,a series of symbols,Grammatical,Y,Y,Y
Original Text,2.5.0,What is a similar word to a graffe?,graffe,Grammatical,Y,Y,Y
Human Summary,2.5.0,What is the task of deciding whether two strings refer to the same entity?,Coreference,Grammatical,Y,Y,Y
Original Text,2.5.0,How many words do the two strings differ by?,one,Grammatical,Y,Y,Y
Automatic Summary,2.5.0,What is the minimum edit distance?,minimum number of editing operations needed to transform one string into another,Grammatical,Y,Y,Y
Original Text,2.5.0,What gives us a way to quantify both of these intuitions about string similarity?,Edit distance,Grammatical,Y,Y,Y
Original Text,2.5.0,What did Levenshtein propose in his metric that each insertion or deletion has a cost of 1 and what else?,substitutions are not allowed,Grammatical,Y,N,N
Automatic Summary,2.5.0,What is the most important visualization for string distances?,an alignment between the two strings,Grammatical,Y,Y,Y
Human Summary,2.5.0,What is the minimum number of editing operations required to make two strings equal?,Minimum edit distance,Grammatical,Y,Y,Y
Human Summary,2.5.0,What can help to quantify the similarity between strings?,Minimum edit distance,Grammatical,Y,Y,Y
Original Text,2.5.1,What is the minimum edit distance?,2.8,Grammatical,Y,Y,Y
Automatic Summary,2.5.1,What is useful throughout speech and language processing?,Aligning two strings,Grammatical,Y,Y,Y
Automatic Summary,2.5.1,When was dynamic programming first introduced?,1957,Grammatical,Y,Y,Y
Automatic Summary,2.5.1,What plays a role in machine translation?,Alignment,Grammatical,Y,Y,Y
Original Text,2.5.1,Where is the minimum edit distance algorithm summarized?,Fig. 2.17,Grammatical,Y,Y,Y
Original Text,2.5.1,Where are the backpointers from a cell shown in Fig. 2.19?,2.19,Grammatical,Y,Y,N
Automatic Summary,2.5.1,What is the name for a class of algorithms that apply a table-driven method to solve problems by combining solutions to sub-problems?,Dynamic programming,Grammatical,Y,Y,Y
Original Text,2.5.1,Where are the backpointers from a cell shown?,Fig. 2.19,Grammatical,Y,Y,Y
Original Text,2.5.1,What is the name for a class of algorithms that apply a table-driven method to solve problems by combining solutions to sub-problems?,dynamic programming,Grammatical,Y,Y,Y
Original Text,2.5.1,What is the edit distance between X 1..i and Y 1..j?,"D|i, j",Grammatical,Y,Y,Y
Human Summary,2.5.1,Who named the minimum edit distance algorithm?,Wagner and Fischer,Grammatical,Y,Y,Y
Automatic Summary,3.0,"What writing tools need to find and correct errors in writing like ""Their are two midterms""?",spelling correction or grammatical error correction,Grammatical,Y,Y,Y
Human Summary,3.0,What can refer to both a sequence of n words and the predictive model that assigns it a probability?,n-gram,Grammatical,Y,Y,Y
Human Summary,3.0,"What is essential for speech recognition, spelling or grammar correction, machine translation, and augmentative communication technologies?",Predicting upcoming words,Grammatical,Y,Y,Y
Original Text,3.0,"What are essential in any task in which we have to identify words in noisy, ambiguous input?",Probabilities,Grammatical,Y,Y,Y
Original Text,3.1,What are the MLE estimates for the parameters of an n-gram model?,0 and 1,Grammatical,Y,Y,Y
Original Text,3.1,What isn't big enough to give us good estimates in most cases?,web,Grammatical,Y,Y,Y
Automatic Summary,3.1,How does Eq.11 estimate the n-gram probability?,by dividing the observed frequency of a particular sequence by the frequency of a prefix,Grammatical,Y,Y,Y
Automatic Summary,3.1,What are the majority of the bigram counts from a piece of a bigram grammar from the Berkeley Restaurant Project?,zero,Grammatical,Y,Y,N
Original Text,3.1,What equation estimates the n-gram probability by dividing the observed frequency of a particular sequence by the observed frequency of a prefix?,Equation 3.12,Grammatical,Y,Y,Y
Automatic Summary,3.1,What shows the bigram counts from a piece of a bigram grammar from the Berkeley Restaurant Project?,Figure 3.1,Grammatical,Y,Y,Y
Human Summary,3.1,How are bigram probabilities normalized?,by dividing each cell by the set of unigram probabilities,Grammatical,Y,Y,Y
Original Text,3.1,What is the first step in estimating the probability of a word given a history h?,formalizing of notation,Grammatical,Y,Y,Y
Original Text,3.1,What is usually a noun or an adjective?,eat,Grammatical,Y,Y,N
Automatic Summary,3.1,What is the class of probabilistic models that assume we can predict the probability of some future unit without looking too far into the past?,Markov models,Grammatical,Y,Y,Y
Original Text,3.1,What should you do to estimate the probability of a word w given some history h?,compute this estimate for yourself,Grammatical,Y,Y,Y
Automatic Summary,3.1,How many words would be more sparse than a random set of?,seven,Grammatical,Y,N,N
Automatic Summary,3.1,What encode some facts that we think of as strictly syntactic in nature?,Bigram probabilities,Grammatical,Y,N,N
Human Summary,3.1,All language model probabilities are represented in log format as what?,log probabilities,Grammatical,Y,Y,Y
Original Text,3.1,"For larger n-grams, we'll need to assume what to the left and right of the sentence end?",extra contexts,Grammatical,Y,N,Y
Human Summary,3.1,Why are joint probabilities difficult to calculate?,too many possible sentences of a certain length,Grammatical,Y,Y,Y
Human Summary,3.1,What is another name for the maximum likelihood estimation?,MLE,Grammatical,Y,Y,Y
Human Summary,3.1,The n-gram model looks at how many words into the past?,n-1,Grammatical,Y,Y,Y
Original Text,3.1,What is the probability of a complete word sequence by substituting Eq. 3.7 into Eq. 3.4?,3.9,Grammatical,Y,Y,Y
Original Text,3.1,How many words were selected from a random set?,seven,Grammatical,Y,Y,Y
Human Summary,3.2.0,What would happen if we accidentally trained the model on the test set?,bias,Grammatical,Y,Y,Y
Original Text,3.2.0,What can be taken from some continuous sequence of text inside the corpus?,test data,Grammatical,Y,Y,Y
Human Summary,3.2.0,What is a test set that has been used so often that we need a fresher test set?,A development set,Grammatical,Y,Y,Y
Human Summary,3.2.0,What embeds a model in an application and measures how much the application improves in an end to end evaluation?,Extrinsic evaluation,Grammatical,Y,Y,Y
Human Summary,3.2.0,What is the downside of extrinsic evaluation?,very expensive,Grammatical,Y,Y,Y
Human Summary,3.2.0,Which n-gram model assigns a higher probability to the test set?,the one that better fits the test set,Grammatical,Y,Y,Y
Human Summary,3.2.0,What ensures the quality of a model independent of any application?,intrinsic evaluation,Grammatical,Y,Y,Y
Automatic Summary,3.2.0,Why do we want our test set to be as large as possible?,small test set may be accidentally unrepresentative,Grammatical,Y,Y,Y
Human Summary,3.2.0,What are the three types of data that we divide the data in?,"training set, test set, held out set",Grammatical,Y,Y,N
Original Text,3.2.1,Perplexity is related inversely to what?,likelihood of the test sequence according to the model,Grammatical,Y,Y,Y
Original Text,3.2.1,How is the perplexity of two language models comparable?,if they use identical vocabularies,Grammatical,Y,Y,N
Automatic Summary,3.2.1,What can we use to expand the probability of W?,the chain rule,Grammatical,Y,Y,Y
Human Summary,3.3.0,What can we use to build an n-gram to answer and predict sentences that make sense in context?,training corpus of a similar genre,Grammatical,Y,Y,Y
Automatic Summary,3.3.0,Our models may still be subject to the problem of what?,sparsity,Grammatical,Y,Y,Y
Automatic Summary,3.3.0,The n-gram model is dependent on what?,training corpus,Grammatical,Y,Y,Y
Automatic Summary,3.3.0,What is still not sufficient?,Matching genres and dialects,Grammatical,Y,Y,N
Automatic Summary,3.3.0,What sentences have no coherent relation between words or any sentence-final punctuation?,unigram sentences,Grammatical,Y,Y,Y
Automatic Summary,3.3.0,What sentences have some local word-to-word coherence?,bigram sentences,Grammatical,Y,Y,Y
Original Text,3.3.0,What is the P(offer|denied the)?,0,Grammatical,Y,N,N
Automatic Summary,3.3.0,"The longer the context on which we train the model, the more coherent what?",sentences,Grammatical,Y,N,N
Automatic Summary,3.3.0,"For any n-gram that occurred a sufficient number of times, we might have what?",a good estimate of its probability,Grammatical,Y,Y,Y
Original Text,3.3.0,"What shows the sentences generated by unigram, bigram, and trigram grammars trained on 40 million words from WSJ?",Fig. 3.4,Grammatical,Y,Y,Y
Human Summary,3.3.0,N-grams are dependent on what?,training corpus,Grammatical,Y,Y,Y
Original Text,3.3.0,What do the 4-gram sentences look a little too much like?,Shakespeare,Grammatical,Y,Y,Y
Original Text,3.3.1,What is the problem of words whose probability is zero?,bigram probability,Grammatical,Y,Y,Y
Human Summary,3.3.1,What is a closed vocabulary system?,the test set doesn't contain any words outside of the given lexicon,Grammatical,Y,Y,Y
Automatic Summary,3.3.1,What are OOV words?,out of vocabulary,Grammatical,Y,Y,Y
Automatic Summary,3.3.1,The exact choice of UNK> model does have an effect on metrics like what?,perplexity,Grammatical,Y,Y,Y
Human Summary,3.3.1,The closed vocabulary system is often used in speech recognition or what?,machine translation,Grammatical,Y,Y,Y
Human Summary,3.3.1,What is the term for unknown words?,out of vocabulary,Grammatical,Y,Y,Y
Human Summary,3.3.1,How many ways are there to train probabilities of UNK>?,two,Grammatical,Y,Y,Y
Automatic Summary,3.3.1,What is zero for words that we haven't seen before?,bigram probability,Grammatical,Y,Y,Y
Automatic Summary,3.4.0,What is a modification called to keep a language model from assigning zero probability to unseen events?,smoothing or discounting,Grammatical,Y,N,Y
Original Text,3.4.0,What type of smoothing is introduced?,Kneser-Ney,Grammatical,Y,Y,Y
Automatic Summary,3.4.0,What do we do to keep a language model from assigning zero probability to unseen events?,shave off a bit of probability mass,Grammatical,Y,Y,Y
Automatic Summary,3.4.0,What context do words that are in our vocabulary appear in a test set in?,unseen,Grammatical,Y,N,N
Original Text,3.4.1,What does Laplace smoothing apply to?,unigram probabilities,Grammatical,Y,Y,Y
Original Text,3.4.1,What do we smooth now that we have the intuition for the unigram case?,Berkeley Restaurant Project bigrams,Grammatical,Y,Y,N
Human Summary,3.4.1,What is the unigram probability of word w_i?,c_i,Grammatical,Y,Y,Y
Human Summary,3.4.1,What is the adjusted count c* easier to compare with?,MLE counts,Grammatical,Y,Y,Y
Original Text,3.4.1,What shows the add-one smoothed counts for the bigrams in Fig. 3.1?,Figure 3.5,Grammatical,Y,Y,Y
Original Text,3.4.1,What shows the add-one smoothed counts for the bigrams in Fig. 3.1?,Figure 3.5,Grammatical,Y,Y,Y
Original Text,3.4.2,What is a fractional count k called?,add-k smoothing,Grammatical,Y,Y,Y
Automatic Summary,3.4.2,What is the algorithm that adds fractional count k called?,add-k smoothing,Grammatical,Y,Y,Y
Automatic Summary,3.4.2,"Instead of adding I to each count, we add what?",fractional count k,Grammatical,Y,Y,Y
Human Summary,3.4.2,What is the algorithm that adds a fractional count k to each count called?,add-k smoothing,Grammatical,Y,Y,Y
Automatic Summary,3.4.3,What shows the equation for interpolation with context-conditioned weights?,Equation 3.28,Grammatical,Y,Y,Y
Automatic Summary,3.4.3,What can help solve the problem of zero frequency n-grams?,Discounting,Grammatical,Y,Y,Y
Human Summary,3.4.3,What are the higher-order n-grams discounted by a function alpha to save some probability mass for?,lower-order n-grams,Grammatical,Y,N,Y
Automatic Summary,3.4.3,How is each weight computed in a slightly more sophisticated version of linear interpolation?,by conditioning on the context,Grammatical,Y,Y,Y
Human Summary,3.5,What is Kneser-Ney based on?,absolute discounting,Grammatical,Y,Y,Y
Automatic Summary,3.5,Who used a clever idea to see how to save some probability mass for the smoothing algorithm to distribute to unseen n-grams?,Church and Gale,Grammatical,Y,Y,Y
Automatic Summary,3.5,Kneser-Ney discounting augments absolute discounting with a more sophisticated way to handle what?,lower-order unigram distribution,Grammatical,Y,Y,Y
Automatic Summary,3.5,What formalizes this intuition by subtracting a fixed (absolute) discount d from each count?,Absolute discounting,Grammatical,Y,Y,N
Automatic Summary,3.5,What will not affect the very high counts?,a small discount d,Grammatical,Y,Y,Y
Original Text,3.5,What phrase is Kong mainly frequent in?,Hong Kong,Grammatical,Y,Y,Y
Original Text,3.5,What word is included as a regular vocabulary entry with count zero?,UNK>,Grammatical,Y,Y,Y
Automatic Summary,3.6,What corpora includes n-rams drawn from their book collections?,Google Books Ngrams,Grammatical,Y,Y,Y
Automatic Summary,3.6,What do language model toolkits use to combine probabilities and backoffs in a single value?,sorted arrays,Grammatical,Y,Y,Y
Original Text,3.6,How are probabilities quantized?,4-8 bits,Grammatical,Y,Y,Y
Human Summary,3.6,How can n-grams be shrunk?,pruning,Grammatical,Y,Y,Y
Human Summary,3.6,What type of hash numbers are stored in memory?,64-bit,Grammatical,Y,Y,Y
Automatic Summary,3.6,What does stupid backoff not produce?,probability distribution,Grammatical,Y,Y,Y
Automatic Summary,3.7,When is the cross-entropy useful?,when we don't know the actual probability distribution,Grammatical,Y,Y,Y
Human Summary,3.7,"What theorem states that if the language is regular, the entropy of the given language would be the entropy of",Shannon-McMillan-Breiman theorem,Grammatical,Y,N,Y
Automatic Summary,3.7,"What theorem states that if the language is regular in certain ways (to be exact, if it is both stationary and ergo",Shannon-McMillan-Breiman theorem,Grammatical,N,N,N
Original Text,3.7,"To measure the true entropy of a language, we need to consider sequences of what length?",infinite length,Grammatical,Y,Y,Y
Human Summary,3.7,What would give a lower cross-entropy?,The more accurate model,Grammatical,Y,Y,Y
Original Text,3.7,What does the spread represent?,the prior probability of each horse,Grammatical,Y,Y,Y
Original Text,4.0,What is the extraction of positive or negative orientation that a writer expresses toward some object?,sentiment analysis,Grammatical,Y,Y,Y
Human Summary,4.0,Most classifications in language processing are done through what?,supervised machine learning,Grammatical,Y,Y,Y
Automatic Summary,4.0,What is the extraction of sentiment?,sentiment analysis,Grammatical,Y,Y,Y
Human Summary,4.0,What is the task of assigning a label or category to an entire text or document?,Text categorization,Grammatical,Y,Y,Y
Automatic Summary,4.0,What is the output variable for lassification?,c,Grammatical,Y,N,Y
Automatic Summary,4.0,What is another important commercial application?,Spam detection,Grammatical,Y,Y,Y
Original Text,4.0,Classification is essential for what?,tasks below the level of the document,Grammatical,Y,Y,Y
Human Summary,4.0,What is a core part of sentient intelligence?,Classification,Grammatical,Y,Y,Y
Automatic Summary,4.0,"Related text classification tasks like what are relevant to the digital humanities, social sciences, and forensic linguistics?",authorship attribution,Grammatical,Y,Y,Y
Human Summary,4.0,What does a probabilistic classifier output?,probability of an object belonging to a certain class,Grammatical,Y,Y,Y
Human Summary,4.0,What type of classifier builds a model of how a class could generate input?,Generative classifiers,Grammatical,Y,Y,Y
Original Text,4.0,Even language modeling can be viewed as what?,classification,Grammatical,Y,Y,Y
Automatic Summary,4.1,Where is the intuition of the naive Bayes classifier shown?,Fig. 4.1,Grammatical,Y,Y,Y
Original Text,4.1,How can we simplify Eq. 4.3?,dropping the denominator,Grammatical,Y,Y,Y
Automatic Summary,4.1,Why are naive Bayes calculations done in log space?,increase speed,Grammatical,Y,Y,Y
Human Summary,4.1,Naive Bayes generates words by sampling from what?,conditional probability,Grammatical,Y,Y,Y
Original Text,4.1,How can we simplify Eq. 4.3 by dropping the denominator P(d)?,computing Eq. 4.3,Grammatical,Y,Y,Y
Automatic Summary,4.1,What is the multinomial naive Bayes classifier?,a Bayesian classifier,Grammatical,Y,Y,Y
Automatic Summary,4.1,What could we imagine by following this process?,generating artificial documents,Grammatical,Y,Y,Y
Automatic Summary,4.1,What does the naive Bayes classifier state about how a document is generated?,implicit assumption,Grammatical,Y,Y,Y
Human Summary,4.1,What are the Bayesian classifiers called?,linear classifiers,Grammatical,Y,Y,Y
Human Summary,4.10,What can cause a variety of harms?,classifiers,Grammatical,Y,Y,Y
Human Summary,4.10,What type of harms are caused by a system that demeans a social group?,Representational,Grammatical,Y,Y,Y
Automatic Summary,4.10,What is one class of harms caused by a system that perpetuates negative stereotypes about a social group?,demeans,Grammatical,Y,Y,N
Human Summary,4.10,What is another class of harms that may exist in toxicity detection?,Censorship,Grammatical,Y,Y,Y
Original Text,4.10,What classifiers can cause harms?,toxicity classifiers,Grammatical,Y,Y,Y
Automatic Summary,4.10,What do some widely used toxicity classifiers incorrectly flag as being?,toxic sentences,Grammatical,Y,N,N
Original Text,4.10,Who published a study in which toxicity classifiers incorrectly flag sentences that are non-toxic but simply mention minority identities?,Davidson et al.,Grammatical,Y,Y,Y
Human Summary,4.2,How do some systems ignore stop words?,by sorting the vocabulary,Grammatical,Y,Y,Y
Human Summary,4.2,What is calculated as the fraction of times a word appears among all words in all documents of a class?,The maximum likelihood estimate of the conditional probability,Grammatical,Y,N,Y
Original Text,4.2,Why are words not in our vocabulary at all?,they did not occur in any training document in any class,Grammatical,Y,Y,Y
Human Summary,4.2,What is the simplest solution to avoid a zero overall probability?,add-one (Laplace) smoothing,Grammatical,Y,Y,Y
Human Summary,4.2,What is the simplest solution for preventing zero probability classes?,Laplace smoothing,Grammatical,Y,Y,Y
Original Text,4.2,What naively multiplies all the feature likelihoods together?,naive Bayes,Grammatical,Y,Y,Y
Human Summary,4.2,What is used to avoid zeros?,Laplace smoothing,Grammatical,Y,Y,Y
Original Text,4.4,What seems to matter more than its frequency?,whether a word occurs or not,Grammatical,Y,Y,Y
Automatic Summary,4.4,What can modify a negative word to produce a positive review?,negation,Grammatical,Y,Y,Y
Automatic Summary,4.4,What can we derive from sentiment lexicons?,positive and negative word features,Grammatical,Y,Y,Y
Human Summary,4.4,What is another name for binary multinomial naive Bayes?,binary NB,Grammatical,Y,Y,Y
Human Summary,4.5,What type of texts are Language ID systems trained on?,multilingual,Grammatical,Y,Y,Y
Original Text,4.5,What is the task of deciding if a particular piece of email is an example of spam?,spam detection,Grammatical,Y,Y,Y
Human Summary,4.5,What are features in naive Bayes for spam detection?,a set of likely words or phrases,Grammatical,Y,Y,Y
Human Summary,4.6,What is the probability of a sentence being positive?,the total product of the individual probabilities that each word in the sentence is positive,Grammatical,Y,Y,Y
Human Summary,4.6,What are similar to language modeling in that they can be viewed as a set of class-specific unigram language models?,Naive Bayes models,Grammatical,Y,Y,Y
Automatic Summary,4.6,What do likelihood features assign to each word P(word|c)?,probability,Grammatical,Y,Y,Y
Automatic Summary,4.7.0,What is the goal of accuracy?,to discover something that is rare,Grammatical,Y,Y,Y
Original Text,4.7.0,How many false negatives would a classifier have?,"999,900",Grammatical,Y,Y,Y
Original Text,4.7.0,What do we need in order to know how well our spam detector is doing?,metric,Grammatical,Y,Y,Y
Automatic Summary,4.7.0,What is the goal of spam detection?,"to label every text as being in the spam category (""positive"") or not in the spam category (""negative"")",Grammatical,Y,Y,Y
Original Text,4.7.0,"What is the accuracy of the ""nothing is pie"" classifier?",99.99%,Grammatical,Y,Y,Y
Original Text,4.7.1,How can we derive a single metric that tells us how well the system is doing?,combine these values in two ways,Grammatical,Y,Y,Y
Human Summary,4.8,What allows all data to be used for both training and testing?,Cross-validation,Grammatical,Y,Y,Y
Human Summary,4.9.0,What is the null hypothesis that supposes that delta is negative or zero?,Hypothesis H_0,Grammatical,Y,Y,Y
Human Summary,4.9.0,What random variable is created over all test sets to find if we can rule out H_0?,X,Grammatical,Y,Y,Y
Automatic Summary,4.9.0,What does the hypothesis H0 suppose?,d(x) is actually negative or zero,Grammatical,Y,Y,Y
Human Summary,4.9.0,What attempts to rule out the null hypothesis?,statistical significance testing,Grammatical,Y,Y,Y
Automatic Summary,4.9.0,What type of tests do we artificially create many versions of the experimental setup?,non-parametric tests based on sampling,Grammatical,Y,N,N
Original Text,4.9.0,What are non-parametric tests based on?,sampling,Grammatical,Y,Y,Y
Original Text,4.9.0,What is the probability that we would see if the null hypothesis is true?,d(x),Grammatical,Y,Y,Y
Automatic Summary,4.9.0,Where can we know if the new system we just built is better than the old one?,the literature,Grammatical,Y,N,N
Human Summary,4.9.0,The null hypothesis assumes that the effective size is what?,negative or zero,Grammatical,Y,Y,Y
Automatic Summary,4.9.0,How do we test statistical significance for NLP classifiers?,by formalizing two hypotheses,Grammatical,Y,Y,Y
Original Text,4.9.1,The first row of Fig. 1 shows the results of two classifiers (A and B) on a test set x of 10 documents,4.8,Grammatical,N,Y,Y
Automatic Summary,4.9.1,What is the test set for a tiny text classification example?,x of 10 documents,Grammatical,Y,Y,Y
Automatic Summary,4.9.1,What can we do statistics on now that we have the b test sets?,how often A has an accidental advantage,Grammatical,Y,Y,Y
Original Text,4.9.1,What is the num of samples b?,b,Grammatical,Y,N,N
Automatic Summary,2.0,What do modern conversational agents rely on?,more sophisticated understanding of the user's intent,Interpretable,Y,N,Y
Human Summary,2.0,What does edit distance evaluate?,degree of resemblance between two strings,Interpretable,Y,Y,Y
Automatic Summary,2.0,What is an example of a hashtag?,#nlproc,Interpretable,Y,N,Y
Human Summary,2.0,What is the most important tool for text pattern characterization?,Regular expressions,Interpretable,Y,Y,Y
Automatic Summary,2.0,What language doesn't have spaces between words?,Japanese,Interpretable,Y,Y,Y
Original Text,2.0,What is an algorithm with applications throughout language processing?,Edit distance,Interpretable,Y,Y,N
Human Summary,2.0,What is the process of finding root words of inflected words?,Lemmatization,Interpretable,Y,Y,Y
Automatic Summary,2.1.0,What types of regular expressions do regular expressions come in?,variants,Interpretable,Y,Y,N
Automatic Summary,2.1.0,What is an algebraic notation for characterizing a set of strings?,regular expression,Interpretable,Y,Y,Y
Original Text,2.1.1,What can be used to specify what a single character cannot be?,square braces,Interpretable,Y,N,N
Human Summary,2.1.1,What is an algebraic notation for characterizing a set of strings that is useful for searching for a pattern or through a corpus?,The regular expression,Interpretable,Y,Y,Y
Human Summary,2.1.1,What specifies a disjunction of characters that can be matched in a position in a longer regular expression?,Square braces,Interpretable,Y,Y,Y
Original Text,2.1.1,What will /a*/ match?,match a or aaaaa,Interpretable,Y,Y,Y
Human Summary,2.1.1,What does the (?) mean?,the preceding character or nothing,Interpretable,Y,Y,Y
Automatic Summary,2.1.1,"How many ways to specify ""at least one"" of some character?",two,Interpretable,N,N,N
Original Text,2.1.1,What is the first symbol after the open square brace?,a,Interpretable,N,N,N
Original Text,2.1.1,What specifies a disjunction of characters to match?,The string of characters inside the braces,Interpretable,Y,N,Y
Original Text,2.1.1,What is it like to have to write the regular expression for digits twice?,annoying,Interpretable,Y,Y,N
Original Text,2.1.1,What does the pattern /[2-5]/ specify?,"any one of the characters 2, 3, 4, or 5",Interpretable,Y,Y,Y
Human Summary,2.1.1,What is a simple type of regular expressions?,a sequence of characters,Interpretable,Y,Y,Y
Original Text,2.1.1,What do square brackets not allow us to say?,s or nothing,Interpretable,N,N,N
Original Text,2.1.1,What is an integer?,a string of digits,Interpretable,Y,Y,N
Automatic Summary,2.1.1,"What means ""any string of zero or more as""?",/a*/,Interpretable,N,Y,Y
Original Text,2.1.1,What is the regular expression used to specify this?,/aardvark,Interpretable,N,N,N
Original Text,2.1.1,What can be used to solve this problem?,square braces,Interpretable,N,N,N
Original Text,2.1.1,What does the caret stand for if it occurs anywhere else?,a caret,Interpretable,Y,Y,Y
Human Summary,2.1.2,"What does (( )) mean ""and""?",Parentheses,Interpretable,Y,N,N
Original Text,2.1.2,What operator applies by default only to a single character?,Kleene*,Interpretable,Y,Y,Y
Automatic Summary,2.1.2,When do we need to use the disjunction operator?,in the midst of a larger sequence,Interpretable,Y,Y,Y
Original Text,2.1.2,What is another way to enforce non-greedy matching?,qualifier,Interpretable,Y,Y,Y
Human Summary,2.1.2,Non-greedy matching can be enforced by what?,question mark qualifier,Interpretable,Y,Y,Y
Automatic Summary,2.1.2,What is the operator *??,Kleene star,Interpretable,Y,Y,Y
Original Text,2.1.2,What can be ambiguous in another way?,Patterns,Interpretable,N,N,N
Human Summary,2.1.2,"When regular expressions are not matched, we match them with what?",largest string they can,Interpretable,Y,Y,N
Original Text,2.1.2,What would we want to search for in a text about pets?,string cat or the string dog,Interpretable,Y,N,N
Original Text,2.1.2,What takes precedence over the disjunction operator?,sequences like guppy,Interpretable,Y,N,N
Automatic Summary,2.1.2,What is another name for the disjunction operator?,pipe symbol,Interpretable,Y,Y,Y
Human Summary,2.1.3,Less false negatives errors mean more what?,recall,Interpretable,Y,Y,Y
Automatic Summary,2.1.3,What is an example of an incorrect pattern?,/the/,Interpretable,Y,Y,Y
Automatic Summary,2.1.3,What is the pattern that will miss the word when it begins a sentence?,/[tT]he/,Interpretable,N,N,N
